name,pos,vbd,posRank,fair,hardMax,priority,tier,avoid,source
Jahmyr Gibbs,RB,490,1,109,120,5,1,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Bijan Robinson,RB,486,2,108,119,5,1,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Christian McCaffrey,RB,414,3,93,102,5,1,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Jonathan Taylor,RB,366,4,83,91,5,1,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Puka Nacua,WR,349,1,89,98,5,1,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Ja'Marr Chase,WR,341,2,88,97,5,1,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
De'Von Achane,RB,330,5,75,82,5,2,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Jaxon Smith-Njigba,WR,317,3,83,91,5,1,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Amon-Ra St. Brown,WR,307,4,80,88,5,1,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Chase Brown,RB,302,6,69,76,4,2,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Ashton Jeanty,RB,300,7,74,82,5,2,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Derrick Henry,RB,292,8,67,74,4,2,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
James Cook III,RB,286,9,66,73,4,2,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Saquon Barkley,RB,278,10,64,70,4,2,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Omarion Hampton,RB,274,11,64,70,4,3,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Josh Jacobs,RB,260,12,61,67,4,3,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Jeremiyah Love,RB,258,13,60,66,3,3,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Breece Hall,RB,254,14,59,65,3,3,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Kenneth Walker III,RB,248,15,58,64,3,3,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Drake London,WR,247,5,58,64,5,2,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Cam Skattebo,RB,234,16,55,61,3,3,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Kyren Williams,RB,226,17,53,58,3,3,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
CeeDee Lamb,WR,215,6,51,56,4,2,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Rashee Rice,WR,215,7,51,56,4,2,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Javonte Williams,RB,214,18,51,56,3,3,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Travis Etienne Jr.,RB,210,19,50,55,3,3,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Justin Jefferson,WR,206,8,54,62,3,2,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Bucky Irving,RB,194,20,47,52,3,3,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Trey McBride,TE,191,1,51,56,5,1,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
D'Andre Swift,RB,192,21,46,51,3,4,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
A.J. Brown,WR,180,9,44,48,4,2,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Chris Olave,WR,180,10,44,48,4,2,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
Quinshon Judkins,RB,174,22,43,47,3,4,False,FantasyPros 2026 PPR VBD/ECR + 8-team $300 prototype calibration
